split,model,class,bin,lower_bound,upper_bound,observations,mean_probability,observed_rate,calibration_gap
test,ensemble_market,A,6,0.5,0.6000000000000001,16,0.5579836282996787,0.5,-0.057983628299678736
test,ensemble_market,A,7,0.6000000000000001,0.7000000000000001,15,0.6422605494818412,0.6666666666666666,0.024406117184825438
test,ensemble_market,A,8,0.7000000000000001,0.8,11,0.7439149920245892,0.45454545454545453,-0.2893695374791347
test,ensemble_market,A,9,0.8,0.9,2,0.8180776470689439,1.0,0.18192235293105607
test,ensemble_sports,H,2,0.1,0.2,31,0.1697797740907226,0.25806451612903225,0.08828474203830966
test,ensemble_sports,H,3,0.2,0.30000000000000004,44,0.2566981669104226,0.25,-0.006698166910422576
test,ensemble_sports,H,4,0.30000000000000004,0.4,59,0.3582840882938649,0.3898305084745763,0.03154642018071141
test,ensemble_sports,H,5,0.4,0.5,120,0.4459275151316329,0.45,0.004072484868367088
test,ensemble_sports,H,6,0.5,0.6000000000000001,50,0.5408879031063567,0.56,0.01911209689364335
test,ensemble_sports,H,7,0.6000000000000001,0.7000000000000001,34,0.6492731642424097,0.7058823529411765,0.056609188698766855
test,ensemble_sports,H,8,0.7000000000000001,0.8,23,0.7521197426163602,0.9130434782608695,0.16092373564450935
test,ensemble_sports,H,9,0.8,0.9,19,0.8192795329337997,0.8947368421052632,0.07545730917146343
test,ensemble_sports,D,1,0.0,0.1,2,0.09326985675028333,0.0,-0.09326985675028333
test,ensemble_sports,D,2,0.1,0.2,57,0.1583500292906855,0.03508771929824561,-0.1232623099924399
test,ensemble_sports,D,3,0.2,0.30000000000000004,275,0.26183055973665337,0.27636363636363637,0.014533076626983
test,ensemble_sports,D,4,0.30000000000000004,0.4,46,0.3117373736317591,0.32608695652173914,0.014349582889980061
test,ensemble_sports,A,1,0.0,0.1,36,0.06994201810761919,0.05555555555555555,-0.014386462552063634
test,ensemble_sports,A,2,0.1,0.2,65,0.1529098565179843,0.13846153846153847,-0.014448318056445836
test,ensemble_sports,A,3,0.2,0.30000000000000004,135,0.25177123080428077,0.26666666666666666,0.014895435862385897
test,ensemble_sports,A,4,0.30000000000000004,0.4,58,0.33748488931967285,0.22413793103448276,-0.11334695828519009
test,ensemble_sports,A,5,0.4,0.5,36,0.4511506972236682,0.3611111111111111,-0.09003958611255708
test,ensemble_sports,A,6,0.5,0.6000000000000001,32,0.5500888437102462,0.5625,0.012411156289753755
test,ensemble_sports,A,7,0.6000000000000001,0.7000000000000001,18,0.632606723742468,0.5555555555555556,-0.07705116818691238
validation,ensemble_market,H,1,0.0,0.1,10,0.07974527369139514,0.1,0.020254726308604865
validation,ensemble_market,H,2,0.1,0.2,67,0.15829472623917584,0.13432835820895522,-0.02396636803022062
validation,ensemble_market,H,3,0.2,0.30000000000000004,87,0.25507634042153626,0.19540229885057472,-0.05967404157096154
validation,ensemble_market,H,4,0.30000000000000004,0.4,132,0.35024792784079245,0.25757575757575757,-0.09267217026503488
validation,ensemble_market,H,5,0.4,0.5,135,0.45015490407005226,0.4222222222222222,-0.027932681847830043
validation,ensemble_market,H,6,0.5,0.6000000000000001,117,0.5481920680722292,0.47863247863247865,-0.06955958943975055
validation,ensemble_market,H,7,0.6000000000000001,0.7000000000000001,97,0.6403579859185428,0.6701030927835051,0.029745106864962345
validation,ensemble_market,H,8,0.7000000000000001,0.8,65,0.7545134686639722,0.8307692307692308,0.07625576210525864
validation,ensemble_market,H,9,0.8,0.9,49,0.8437100048324917,0.8571428571428571,0.013432852310365395
validation,ensemble_market,H,10,0.9,1.0,1,0.9073954396297198,1.0,0.0926045603702802
validation,ensemble_market,D,1,0.0,0.1,21,0.08463539858736133,0.047619047619047616,-0.03701635096831371
validation,ensemble_market,D,2,0.1,0.2,135,0.15503619865478238,0.17777777777777778,0.022741579122995403
validation,ensemble_market,D,3,0.2,0.30000000000000004,492,0.256198112889281,0.2967479674796748,0.040549854590393786
validation,ensemble_market,D,4,0.30000000000000004,0.4,112,0.31445504467521757,0.29464285714285715,-0.019812187532360415
validation,ensemble_market,A,1,0.0,0.1,106,0.06659762842746754,0.04716981132075472,-0.01942781710671282
validation,ensemble_market,A,2,0.1,0.2,181,0.1549181687029983,0.15469613259668508,-0.00022203610631321702
validation,ensemble_market,A,3,0.2,0.30000000000000004,168,0.24687020421852934,0.22023809523809523,-0.02663210898043411
