split,model,class,bin,observations,mean_probability,observed_rate,calibration_gap
test,random_forest_sports,A,1,40,0.07624933337613946,0.05,-0.026249333376139453
test,random_forest_sports,A,2,75,0.15850112865664412,0.18666666666666668,0.028165538010022556
test,random_forest_sports,A,3,123,0.2489866978248195,0.25203252032520324,0.003045822500383738
test,random_forest_sports,A,4,59,0.3428591664442392,0.2542372881355932,-0.08862187830864598
test,random_forest_sports,A,5,36,0.4602718090249744,0.3888888888888889,-0.07138292013608549
test,random_forest_sports,A,6,41,0.5522179376414034,0.5121951219512195,-0.040022815690183844
test,random_forest_sports,A,7,6,0.6142906198737709,0.6666666666666666,0.05237604679289576
validation,hist_boost_market,H,1,2,0.08278693163127884,1.0,0.9172130683687212
validation,hist_boost_market,H,2,59,0.1672759804048767,0.0847457627118644,-0.0825302176930123
validation,hist_boost_market,H,3,107,0.2513294311158601,0.1588785046728972,-0.0924509264429629
validation,hist_boost_market,H,4,132,0.3515104969998633,0.30303030303030304,-0.04848019396956027
validation,hist_boost_market,H,5,118,0.4485429315981063,0.4915254237288136,0.04298249213070726
validation,hist_boost_market,H,6,133,0.5488252115758101,0.5037593984962406,-0.04506581307956947
validation,hist_boost_market,H,7,109,0.643528208541636,0.6422018348623854,-0.001326373679250592
validation,hist_boost_market,H,8,70,0.7477899169073451,0.7571428571428571,0.00935294023551203
validation,hist_boost_market,H,9,30,0.8399113969865736,0.8,-0.03991139698657353
validation,hist_boost_market,D,1,18,0.0869315397764003,0.05555555555555555,-0.03137598422084474
validation,hist_boost_market,D,2,177,0.16146455070471918,0.2033898305084746,0.041925279803755405
validation,hist_boost_market,D,3,329,0.24706835518367748,0.2674772036474164,0.020408848463738916
validation,hist_boost_market,D,4,173,0.33987518901319513,0.32947976878612717,-0.010395420227067964
validation,hist_boost_market,D,5,46,0.43720564637553316,0.30434782608695654,-0.13285782028857662
validation,hist_boost_market,D,6,17,0.528046324104394,0.47058823529411764,-0.057458088810276364
validation,hist_boost_market,A,1,104,0.07099569155646988,0.04807692307692308,-0.022918768479546804
validation,hist_boost_market,A,2,228,0.14932173720296665,0.16666666666666666,0.017344929463700004
validation,hist_boost_market,A,3,157,0.24806116231917943,0.28662420382165604,0.03856304150247661
validation,hist_boost_market,A,4,103,0.34662515265143046,0.33980582524271846,-0.006819327408711995
validation,hist_boost_market,A,5,87,0.4545475206206423,0.5632183908045977,0.10867087018395538
validation,hist_boost_market,A,6,48,0.5408400021324744,0.6041666666666666,0.06332666453419222
validation,hist_boost_market,A,7,24,0.6474487949417812,0.5,-0.1474487949417812
validation,hist_boost_market,A,8,9,0.7363016658193565,0.7777777777777778,0.04147611195842127
validation,hist_boost_sports,H,1,1,0.09986072041349632,1.0,0.9001392795865036
validation,hist_boost_sports,H,2,35,0.16901003970603318,0.08571428571428572,-0.08329575399174746
validation,hist_boost_sports,H,3,129,0.25346743797334503,0.2558139534883721,0.00234651551502707
validation,hist_boost_sports,H,4,121,0.350668660552858,0.24793388429752067,-0.10273477625533733
validation,hist_boost_sports,H,5,155,0.45289310555965767,0.432258064516129,-0.020635041043528646
validation,hist_boost_sports,H,6,118,0.5477283398845921,0.5084745762711864,-0.03925376361340571
validation,hist_boost_sports,H,7,120,0.6469022808315209,0.6833333333333333,0.036431052501812444
validation,hist_boost_sports,H,8,62,0.7481477503724234,0.7580645161290323,0.009916765756608825
validation,hist_boost_sports,H,9,19,0.8317866070181299,0.6842105263157895,-0.1475760807023404
validation,hist_boost_sports,D,1,9,0.09138600002557744,0.0,-0.09138600002557744
validation,hist_boost_sports,D,2,185,0.16418542984166204,0.23783783783783785,0.07365240799617581
validation,hist_boost_sports,D,3,362,0.24472570542033203,0.2569060773480663,0.012180371927734274
validation,hist_boost_sports,D,4,157,0.3379374638058788,0.31210191082802546,-0.025835552977853338
validation,hist_boost_sports,D,5,38,0.43012508886649575,0.3684210526315789,-0.061704036234916826
validation,hist_boost_sports,D,6,9,0.5431297606146632,0.4444444444444444,-0.0986853161702188
validation,hist_boost_sports,A,1,74,0.07520411899084238,0.05405405405405406,-0.021150064936788324
validation,hist_boost_sports,A,2,234,0.1491566422480406,0.1623931623931624,0.013236520145121805
validation,hist_boost_sports,A,3,169,0.24456559171208694,0.21893491124260356,-0.025630680469483386
validation,hist_boost_sports,A,4,106,0.34934830236770836,0.42452830188679247,0.0751799995190841
validation,hist_boost_sports,A,5,84,0.4489809088469117,0.5714285714285714,0.12244766258165968
validation,hist_boost_sports,A,6,69,0.5442173775384788,0.5217391304347826,-0.02247824710369617
validation,hist_boost_sports,A,7,18,0.6386599610258717,0.5,-0.13865996102587175
validation,hist_boost_sports,A,8,5,0.7479325181962893,0.4,-0.34793251819628923
