split,model,class,bin,lower_bound,upper_bound,observations,mean_probability,observed_rate,calibration_gap
test,logistic_market,A,3,0.2,0.30000000000000004,103,0.24941510853968354,0.30097087378640774,0.0515557652467242
test,logistic_market,A,4,0.30000000000000004,0.4,66,0.34238621040256334,0.2878787878787879,-0.05450742252377544
test,logistic_market,A,5,0.4,0.5,33,0.4433962215950138,0.42424242424242425,-0.01915379735258954
test,logistic_market,A,6,0.5,0.6000000000000001,22,0.5393927396425566,0.36363636363636365,-0.17575637600619298
test,logistic_market,A,7,0.6000000000000001,0.7000000000000001,17,0.6382407178224812,0.5882352941176471,-0.05000542370483407
test,logistic_market,A,8,0.7000000000000001,0.8,8,0.7370303358075609,0.5,-0.23703033580756094
test,logistic_market,A,9,0.8,0.9,2,0.8236234171325001,1.0,0.1763765828674999
test,logistic_sports,H,1,0.0,0.1,13,0.07859531974856358,0.3076923076923077,0.2290969879437441
test,logistic_sports,H,2,0.1,0.2,27,0.1399255513687994,0.2222222222222222,0.08229667085342282
test,logistic_sports,H,3,0.2,0.30000000000000004,44,0.2489265610468354,0.29545454545454547,0.04652798440771008
test,logistic_sports,H,4,0.30000000000000004,0.4,66,0.35364112722504576,0.3787878787878788,0.025146751562833025
test,logistic_sports,H,5,0.4,0.5,79,0.44909211372221447,0.4177215189873418,-0.03137059473487269
test,logistic_sports,H,6,0.5,0.6000000000000001,50,0.5448153010574286,0.54,-0.004815301057428556
test,logistic_sports,H,7,0.6000000000000001,0.7000000000000001,50,0.6474885215421172,0.68,0.032511478457882825
test,logistic_sports,H,8,0.7000000000000001,0.8,24,0.7336114895646973,0.7916666666666666,0.05805517710196928
test,logistic_sports,H,9,0.8,0.9,26,0.8363040091081859,0.9230769230769231,0.08677291396873721
test,logistic_sports,H,10,0.9,1.0,1,0.9281706300339985,1.0,0.07182936996600153
test,logistic_sports,D,1,0.0,0.1,6,0.08487157459075674,0.0,-0.08487157459075674
test,logistic_sports,D,2,0.1,0.2,87,0.16431574214046704,0.12643678160919541,-0.03787896053127163
test,logistic_sports,D,3,0.2,0.30000000000000004,191,0.24689515923893668,0.29842931937172773,0.05153416013279105
