ensemble,weight_step,rows,weight_random_forest_sports,weight_logistic_sports,weight_poisson,log_loss,brier_score,accuracy,macro_f1,ece_10_bins,weight_market,weight_random_forest_market,weight_logistic_market
ensemble_sports,0.05,760,0.0,0.6000000000000001,0.4,0.9718483829870351,0.5782986704032731,0.5263157894736842,0.39077317833110775,0.017433875944064363,0.0,0.0,0.0
ensemble_sports,0.05,760,0.0,0.65,0.35000000000000003,0.9727663798472099,0.5789003070058344,0.5289473684210526,0.3959644582643029,0.016394912853212994,0.0,0.0,0.0
ensemble_sports,0.05,760,0.0,0.7000000000000001,0.30000000000000004,0.9739101889920465,0.5796349357148458,0.5289473684210526,0.39533471546620386,0.019066066944754247,0.0,0.0,0.0
ensemble_sports,0.05,760,0.0,0.75,0.25,0.9752932004890621,0.5805025565303075,0.5289473684210526,0.39607780385463337,0.018150079308957394,0.0,0.0,0.0
ensemble_sports,0.05,760,0.0,0.8,0.2,0.9769352699182337,0.5815031694522191,0.5302631578947369,0.40185102571183756,0.01678371688231948,0.0,0.0,0.0
ensemble_sports,0.05,760,0.0,0.8500000000000001,0.15000000000000002,0.9788672134419624,0.5826367744805809,0.531578947368421,0.40427820437607576,0.018945305898284172,0.0,0.0,0.0
ensemble_sports,0.05,760,0.0,0.9,0.1,0.9811408951202614,0.5839033716153929,0.5302631578947369,0.40750338297109073,0.01890537164006394,0.0,0.0,0.0
ensemble_sports,0.05,760,0.0,0.9500000000000001,0.05,0.9838564470755573,0.5853029608566549,0.5328947368421053,0.4142604531260951,0.01447889390905444,0.0,0.0,0.0
ensemble_sports,0.05,760,0.0,1.0,0.0,0.9872624985643287,0.5868355422043671,0.531578947368421,0.415822232839572,0.015097351179481907,0.0,0.0,0.0
ensemble_sports,0.05,760,0.05,0.0,0.9500000000000001,0.9752047628079688,0.5801171769158981,0.5302631578947369,0.3929771095760531,0.018418648206351418,0.0,0.0,0.0
ensemble_sports,0.05,760,0.05,0.05,0.9,0.9737005776441247,0.5791988141546437,0.531578947368421,0.39341795669315077,0.023042309066146755,0.0,0.0,0.0
ensemble_sports,0.05,760,0.05,0.1,0.8500000000000001,0.9724283710260883,0.5784134434998391,0.5302631578947369,0.39230216244024924,0.024545749358712395,0.0,0.0,0.0
ensemble_sports,0.05,760,0.05,0.15000000000000002,0.8,0.9713792243554864,0.5777610649514848,0.5276315789473685,0.3893529185867896,0.0248507831672771,0.0,0.0,0.0
ensemble_sports,0.05,760,0.05,0.2,0.75,0.9705460709325826,0.5772416785095805,0.531578947368421,0.3918973248801609,0.022632592559796695,0.0,0.0,0.0
ensemble_sports,0.05,760,0.05,0.25,0.7000000000000001,0.9699234358307683,0.5768552841741263,0.5328947368421053,0.392911259883737,0.025192913742230087,0.0,0.0,0.0
ensemble_sports,0.05,760,0.05,0.30000000000000004,0.65,0.969507263984364,0.5766018819451224,0.531578947368421,0.391659849998792,0.019491916751101093,0.0,0.0,0.0
ensemble_sports,0.05,760,0.05,0.35000000000000003,0.6000000000000001,0.9692948167038482,0.5764814718225685,0.5342105263157895,0.3939309221312182,0.019215013868940353,0.0,0.0,0.0
ensemble_sports,0.05,760,0.05,0.4,0.55,0.96928462711365,0.5764940538064647,0.5302631578947369,0.3902766439909297,0.015242677507826931,0.0,0.0,0.0
ensemble_sports,0.05,760,0.05,0.45,0.5,0.9694765129531211,0.576639627896811,0.5302631578947369,0.3902844126260983,0.012404294529146561,0.0,0.0,0.0
ensemble_sports,0.05,760,0.05,0.5,0.45,0.9698716530461993,0.5769181940936075,0.5276315789473685,0.3893956650610047,0.01488434907197503,0.0,0.0,0.0
ensemble_sports,0.05,760,0.05,0.55,0.4,0.970472743763677,0.577329752396854,0.525,0.3876190476190476,0.014081600147740654,0.0,0.0,0.0
ensemble_sports,0.05,760,0.05,0.6000000000000001,0.35000000000000003,0.9712842672764574,0.5778743028065506,0.5289473684210526,0.39208290591546335,0.018825417753763993,0.0,0.0,0.0
ensemble_sports,0.05,760,0.05,0.65,0.30000000000000004,0.9723129305792036,0.5785518453226974,0.5302631578947369,0.3967298620147813,0.019894884428921983,0.0,0.0,0.0
ensemble_sports,0.05,760,0.05,0.7000000000000001,0.25,0.9735683866982083,0.5793623799452944,0.5289473684210526,0.3959803309474823,0.019836453513246578,0.0,0.0,0.0
ensemble_sports,0.05,760,0.05,0.75,0.2,0.9750644596254291,0.5803059066743415,0.5263157894736842,0.3945487518668658,0.0175097696339658,0.0,0.0,0.0
ensemble_sports,0.05,760,0.05,0.8,0.15000000000000002,0.9768213483766527,0.5813824255098385,0.531578947368421,0.40419025864094027,0.014638267499361476,0.0,0.0,0.0
ensemble_sports,0.05,760,0.05,0.8500000000000001,0.1,0.9788699412232379,0.5825919364517858,0.531578947368421,0.405400964140649,0.017387225918282533,0.0,0.0,0.0
ensemble_sports,0.05,760,0.05,0.9,0.05,0.9812613378088594,0.5839344395001832,0.5328947368421053,0.4094746767618265,0.017690836658400825,0.0,0.0,0.0
ensemble_sports,0.05,760,0.05,0.9500000000000001,0.0,0.9840919720333833,0.5854099346550306,0.5355263157894737,0.4164336571770308,0.01415725744479924,0.0,0.0,0.0
ensemble_sports,0.05,760,0.1,0.0,0.9,0.97338838157363,0.5788954912489571,0.5328947368421053,0.3949952400380797,0.02405645023641415,0.0,0.0,0.0
ensemble_sports,0.05,760,0.1,0.05,0.8500000000000001,0.9720205728168814,0.578053034401288,0.5289473684210526,0.39094931263786253,0.024583955130817795,0.0,0.0,0.0
