team_id,team,simulations,expected_points_current,median_points,points_p05,points_p95,expected_goals_for,expected_goals_against,expected_goal_difference,expected_position,median_position,champion_probability_current,top4_probability_current,top6_probability,europe_top7_probability_current,relegation_probability_current,last_place_probability,champion_probability_preseason,top4_probability_preseason,europe_top7_probability_preseason,relegation_probability_preseason,expected_points_preseason,champion_probability_change,top4_probability_change,europe_top7_probability_change,relegation_probability_change,expected_points_change
athletic_bilbao,Athletic Club,300,47.88666666666666,48.0,36.0,60.0,46.123333333333335,49.26,-3.1366666666666667,11.643333333333333,12.0,0.0,0.03666666666666667,0.14333333333333334,0.20666666666666667,0.11,0.02,0.002,0.08272,0.29336,0.08606,50.58172,-0.002,-0.046053333333333335,-0.08669333333333334,0.023940000000000003,-2.695053333333334
vallecano,Rayo Vallecano,300,46.97,47.0,34.95,60.05000000000001,39.38666666666666,45.556666666666665,-6.17,12.223333333333333,12.0,0.0,0.03333333333333333,0.08,0.14666666666666667,0.14666666666666667,0.03,0.0017,0.0831,0.29878,0.08406,50.71326,-0.0017,-0.04976666666666666,-0.15211333333333332,0.06260666666666667,-3.7432599999999994
osasuna,CA Osasuna,300,46.83,47.0,36.0,59.0,44.67,51.513333333333335,-6.843333333333334,12.353333333333333,12.0,0.0,0.02666666666666667,0.09,0.15666666666666668,0.15,0.04666666666666667,0.0006,0.03954,0.17724,0.1604,47.69868,-0.0006,-0.01287333333333333,-0.020573333333333332,-0.010399999999999993,-0.8686800000000048
real_sociedad,Real Sociedad,300,45.303333333333335,45.0,33.95,57.05000000000001,48.05,55.836666666666666,-7.786666666666667,13.01,13.0,0.0,0.013333333333333334,0.08333333333333333,0.13333333333333333,0.16666666666666666,0.04,0.00114,0.06322,0.24218,0.11554,49.37406,-0.00114,-0.04988666666666666,-0.10884666666666667,0.051126666666666654,-4.0707266666666655
getafe,Getafe CF,300,44.85333333333333,45.0,33.0,57.05000000000001,33.61333333333334,41.803333333333335,-8.19,13.406666666666666,14.0,0.0,0.02,0.06333333333333334,0.11,0.21333333333333335,0.06,0.00058,0.03382,0.1593,0.17446,47.18558,-0.00058,-0.013820000000000002,-0.0493,0.03887333333333334,-2.33224666666667
elche,Elche CF,300,44.333333333333336,44.0,32.0,58.0,44.88,56.79666666666667,-11.916666666666666,13.596666666666666,14.0,0.0,0.013333333333333334,0.07666666666666666,0.11333333333333333,0.23,0.07666666666666666,0.00052,0.02784,0.13966,0.20192,46.47806,-0.00052,-0.014506666666666666,-0.02632666666666668,0.02808000000000002,-2.1447266666666636
racing_santander,Racing de Santander,300,42.54,42.0,31.0,56.0,48.44,68.31,-19.87,14.74,16.0,0.0,0.0,0.023333333333333334,0.07666666666666666,0.3333333333333333,0.12,0.00014,0.00972,0.05874,0.38014,42.6444,-0.00014,-0.00972,0.01792666666666666,-0.04680666666666666,-0.10439999999999827
espanyol,RCD Espanyol,300,41.62,41.0,29.0,53.05000000000001,42.416666666666664,56.52333333333333,-14.106666666666667,15.193333333333333,16.0,0.0,0.0033333333333333335,0.03,0.05,0.3566666666666667,0.12,0.00028,0.02738,0.13344,0.21244,46.19752,-0.00028,-0.024046666666666668,-0.08344,0.1442266666666667,-4.57752
malaga,Málaga CF,300,38.98,39.0,27.0,50.0,42.29333333333334,64.31666666666666,-22.023333333333333,16.47,17.0,0.0,0.0,0.01,0.016666666666666666,0.49333333333333335,0.20666666666666667,6e-05,0.01056,0.06492,0.35736,43.07504,-6e-05,-0.01056,-0.04825333333333334,0.13597333333333333,-4.0950400000000045
deportivo,RC Deportivo,300,39.25,39.0,28.0,52.0,40.60333333333333,64.46666666666667,-23.863333333333333,16.476666666666667,17.5,0.0,0.0,0.02,0.02666666666666667,0.5,0.19666666666666666,2e-05,0.00464,0.03086,0.5004,40.40898,-2e-05,-0.00464,-0.00419333333333333,-0.00039999999999995595,-1.1589799999999997
